Accuracy,Validation Loss,Elapsed time,Batch Size,Hidden layer,Hidden Num,Learning Rate,Epochs
0.938968253968254,0.01758190058171749,50.769171953201294,9,1,250,0.005,13
0.9715873015873016,0.009787164628505707,31.912849187850952,9,1,250,0.05,8
0.9728571428571429,0.009255935437977314,23.69272232055664,9,1,250,0.01,6
0.9776984126984127,0.008326333947479725,23.36081576347351,9,1,250,0.1,6
0.9269047619047619,0.014805805869400501,162.36051154136658,9,5,250,0.005,21
0.9722222222222222,0.004665535409003496,68.05290532112122,9,5,250,0.05,8
0.9756349206349206,0.004202802665531635,50.680959701538086,9,5,250,0.01,6
0.9780952380952381,0.0035578233655542135,52.69622588157654,9,5,250,0.1,6
0.11619047619047619,0.0899665579199791,164.6248743534088,9,20,250,0.005,6
0.11619047619047619,0.08999326080083847,163.72767519950867,9,20,250,0.05,6
0.10214285714285715,0.08998853713274002,170.55701160430908,9,20,250,0.01,6
0.10214285714285715,0.09002792090177536,168.2911434173584,9,20,250,0.1,6
0.11619047619047619,0.08996570110321045,438.2062780857086,9,50,250,0.005,6
0.11619047619047619,0.08999466896057129,482.7387127876282,9,50,250,0.05,6
0.11619047619047619,0.08995942771434784,477.587317943573,9,50,250,0.01,6
0.11619047619047619,0.09000042080879211,496.62576174736023,9,50,250,0.1,6
0.9423015873015873,0.017227554693818092,72.04269123077393,9,1,350,0.005,13
0.9728571428571429,0.00942275207489729,43.724149227142334,9,1,350,0.05,8
0.9735714285714285,0.00898233987390995,33.15178084373474,9,1,350,0.01,6
0.9768253968253968,0.007958393543958664,32.991514682769775,9,1,350,0.1,6
0.9288888888888889,0.015036817640066147,250.3579535484314,9,5,350,0.005,22
0.9742063492063492,0.004507687408477068,97.29296207427979,9,5,350,0.05,8
0.9770634920634921,0.004054603166878223,77.63578772544861,9,5,350,0.01,6
0.9791269841269842,0.003391906153410673,102.42025995254517,9,5,350,0.1,6
0.11619047619047619,0.0899723544716835,344.635808467865,9,20,350,0.005,6
0.09182539682539682,0.09011151641607285,365.43029403686523,9,20,350,0.05,6
0.11619047619047619,0.08996708691120148,366.18886160850525,9,20,350,0.01,6
0.11619047619047619,0.09000561386346817,369.66583728790283,9,20,350,0.1,6
0.11619047619047619,0.08996190875768661,1003.5094258785248,9,50,350,0.005,6
0.09944444444444445,0.09003837406635284,925.2374937534332,9,50,350,0.05,6
